danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,title,artist_id,artist_name
0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,audio_features,503OTo2dSqe7qk76rgsbep,spotify:track:503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/tracks/503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/audio-analysis/503OTo2dSqe7qk76rgsbep,270587,4,Still D.R.E.,6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre
0.614,0.838,11,-6.467,0,0.0423,0.00913,1.42e-06,0.0835,0.49,139.955,audio_features,0oIVNEkOgvOU9yG9oW13xC,spotify:track:0oIVNEkOgvOU9yG9oW13xC,https://api.spotify.com/v1/tracks/0oIVNEkOgvOU9yG9oW13xC,https://api.spotify.com/v1/audio-analysis/0oIVNEkOgvOU9yG9oW13xC,317827,4,Auf gute Freunde,6x9jRPDmA8Ihpw3A9FBowD,Böhse Onkelz
0.89,0.521,6,-7.048,0,0.169,0.078,0.0,0.0958,0.646,139.981,audio_features,6yeZM8gyykjaf8w0GqRfK4,spotify:track:6yeZM8gyykjaf8w0GqRfK4,https://api.spotify.com/v1/tracks/6yeZM8gyykjaf8w0GqRfK4,https://api.spotify.com/v1/audio-analysis/6yeZM8gyykjaf8w0GqRfK4,131893,4,Wildberry Lillet,2kS9NyuATpYwjeB93h24H5,Nina Chuba
0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966,audio_features,10xV5l9nhLvFpR8mqzs0bL,spotify:track:10xV5l9nhLvFpR8mqzs0bL,https://api.spotify.com/v1/tracks/10xV5l9nhLvFpR8mqzs0bL,https://api.spotify.com/v1/audio-analysis/10xV5l9nhLvFpR8mqzs0bL,155589,4,Numb,64KEffDW9EtZ1y2vBYgq8T,Marshmello
0.663,0.559,6,-12.876,0,0.0391,0.136,0.0894,0.108,0.296,145.007,audio_features,4tRhRLBxIZ34Iw0eCuiC03,spotify:track:4tRhRLBxIZ34Iw0eCuiC03,https://api.spotify.com/v1/tracks/4tRhRLBxIZ34Iw0eCuiC03,https://api.spotify.com/v1/audio-analysis/4tRhRLBxIZ34Iw0eCuiC03,206385,4,Miss You,1GVuCyb4PlArufUZDUnRQi,southstar
0.706,0.722,1,-7.446,1,0.038,0.0473,0.0,0.65,0.584,130.015,audio_features,1RUp6d887zj0N9CrTwYb1j,spotify:track:1RUp6d887zj0N9CrTwYb1j,https://api.spotify.com/v1/tracks/1RUp6d887zj0N9CrTwYb1j,https://api.spotify.com/v1/audio-analysis/1RUp6d887zj0N9CrTwYb1j,150465,4,Falle Für Dich,6Vg9ZTblAIMeOiRCgyzJzO,Tom Twers
0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,audio_features,4uUG5RXrOk84mYEfFvj3cK,spotify:track:4uUG5RXrOk84mYEfFvj3cK,https://api.spotify.com/v1/tracks/4uUG5RXrOk84mYEfFvj3cK,https://api.spotify.com/v1/audio-analysis/4uUG5RXrOk84mYEfFvj3cK,175238,4,I'm Good (Blue),1Cs0zKBU1kc0i8ypK3B9ai,David Guetta
0.594,0.748,5,-7.286,1,0.0879,0.0836,0.000286,0.327,0.877,175.938,audio_features,5Ll0JNNVo0vuQnUGdRfUst,spotify:track:5Ll0JNNVo0vuQnUGdRfUst,https://api.spotify.com/v1/tracks/5Ll0JNNVo0vuQnUGdRfUst,https://api.spotify.com/v1/audio-analysis/5Ll0JNNVo0vuQnUGdRfUst,111818,4,Best Friend,6yhoNaKEJd3CH33hl26How,BEVN
0.653,0.476,4,-8.185,0,0.169,0.308,0.0,0.216,0.421,148.008,audio_features,4RgrQ5jGalu6FWsy6WbfDM,spotify:track:4RgrQ5jGalu6FWsy6WbfDM,https://api.spotify.com/v1/tracks/4RgrQ5jGalu6FWsy6WbfDM,https://api.spotify.com/v1/audio-analysis/4RgrQ5jGalu6FWsy6WbfDM,164198,4,DER LETZTE SONG (ALLES WIRD GUT) (feat. Nina Chuba),2TiXt00aPsggbxZxL1RaG7,KUMMER
0.669,0.452,1,-12.112,1,0.231,0.42,0.291,0.0999,0.106,165.035,audio_features,0fmbjLzenF8z20WN0QPSXl,spotify:track:0fmbjLzenF8z20WN0QPSXl,https://api.spotify.com/v1/tracks/0fmbjLzenF8z20WN0QPSXl,https://api.spotify.com/v1/audio-analysis/0fmbjLzenF8z20WN0QPSXl,208000,4,999 (Remix),0q9PBbZ4ZWpyY4hK6IpXui,MYT
