danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,title,artist_id,artist_name
0.789,0.649,0,-5.765,1,0.0714,0.0409,3.64e-05,0.0773,0.589,89.999,audio_features,2iVgM5C7m1G4CJGbms301G,spotify:track:2iVgM5C7m1G4CJGbms301G,https://api.spotify.com/v1/tracks/2iVgM5C7m1G4CJGbms301G,https://api.spotify.com/v1/audio-analysis/2iVgM5C7m1G4CJGbms301G,174809,4,Copa Vacía,0EmeFodog0BfCgMzAIvKQp,Shakira
0.817,0.44,10,-8.482,0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,audio_features,7aRCf5cLOFN1U7kvtChY1G,spotify:track:7aRCf5cLOFN1U7kvtChY1G,https://api.spotify.com/v1/tracks/7aRCf5cLOFN1U7kvtChY1G,https://api.spotify.com/v1/audio-analysis/7aRCf5cLOFN1U7kvtChY1G,272113,4,Search & Rescue,3TVXtAsR1Inumwj472S9r4,Drake
0.516,0.322,9,-11.762,1,0.0292,0.473,0.00194,0.215,0.261,148.005,audio_features,2L9N0zZnd37dwF0clgxMGI,spotify:track:2L9N0zZnd37dwF0clgxMGI,https://api.spotify.com/v1/tracks/2L9N0zZnd37dwF0clgxMGI,https://api.spotify.com/v1/audio-analysis/2L9N0zZnd37dwF0clgxMGI,182888,3,ceilings,1GmsPCcpKgF9OhlNXjOsbS,Lizzy McAlpine
0.688,0.56,11,-7.831,1,0.051,0.562,0.0,0.337,0.219,120.128,audio_features,3AlfzYBSXvI5Bhbqm5iuSn,spotify:track:3AlfzYBSXvI5Bhbqm5iuSn,https://api.spotify.com/v1/tracks/3AlfzYBSXvI5Bhbqm5iuSn,https://api.spotify.com/v1/audio-analysis/3AlfzYBSXvI5Bhbqm5iuSn,155214,4,Antis,0xD6n0wj7aqV5g5LcRNBUd,RIELL
0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,audio_features,0JXXNGljqupsJaZsgSbMZV,spotify:track:0JXXNGljqupsJaZsgSbMZV,https://api.spotify.com/v1/tracks/0JXXNGljqupsJaZsgSbMZV,https://api.spotify.com/v1/audio-analysis/0JXXNGljqupsJaZsgSbMZV,195373,4,Sure Thing,360IAlyVv4PCEVjgyMZrxK,Miguel
0.613,0.803,9,-5.171,1,0.0367,0.000525,0.000333,0.189,0.461,127.989,audio_features,04CqLjewJiSAqM210vZAmT,spotify:track:04CqLjewJiSAqM210vZAmT,https://api.spotify.com/v1/tracks/04CqLjewJiSAqM210vZAmT,https://api.spotify.com/v1/audio-analysis/04CqLjewJiSAqM210vZAmT,162973,4,River,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus
0.662,0.398,11,-6.691,0,0.0275,0.716,0.0,0.111,0.468,107.001,audio_features,4sx6NRwL6Ol3V6m9exwGlQ,spotify:track:4sx6NRwL6Ol3V6m9exwGlQ,https://api.spotify.com/v1/tracks/4sx6NRwL6Ol3V6m9exwGlQ,https://api.spotify.com/v1/audio-analysis/4sx6NRwL6Ol3V6m9exwGlQ,145850,4,Love Again,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI
0.54,0.564,9,-6.17,0,0.0567,0.418,0.0,0.125,0.289,150.0,audio_features,0nYVpZvDHwkalBG2cLfQ6A,spotify:track:0nYVpZvDHwkalBG2cLfQ6A,https://api.spotify.com/v1/tracks/0nYVpZvDHwkalBG2cLfQ6A,https://api.spotify.com/v1/audio-analysis/0nYVpZvDHwkalBG2cLfQ6A,128000,4,Daylight,2muaKB2dAVbfGrPySPiZqF,Meric Again
0.686,0.897,11,-7.18,0,0.0386,0.0103,0.103,0.153,0.355,129.975,audio_features,0FA4wrjDJvJTTU8AepZTup,spotify:track:0FA4wrjDJvJTTU8AepZTup,https://api.spotify.com/v1/tracks/0FA4wrjDJvJTTU8AepZTup,https://api.spotify.com/v1/audio-analysis/0FA4wrjDJvJTTU8AepZTup,163139,4,Watch This - ARIZONATEARS Pluggnb Remix,4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert
0.838,0.525,10,-3.562,1,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,audio_features,0QHEIqNKsMoOY5urbzN48u,spotify:track:0QHEIqNKsMoOY5urbzN48u,https://api.spotify.com/v1/tracks/0QHEIqNKsMoOY5urbzN48u,https://api.spotify.com/v1/audio-analysis/0QHEIqNKsMoOY5urbzN48u,134256,4,Made You Look,6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor
0.758,0.655,5,-7.226,1,0.0305,0.143,0.0,0.158,0.972,128.019,audio_features,1K1KcmJgKaeqnsisQnhyE1,spotify:track:1K1KcmJgKaeqnsisQnhyE1,https://api.spotify.com/v1/tracks/1K1KcmJgKaeqnsisQnhyE1,https://api.spotify.com/v1/audio-analysis/1K1KcmJgKaeqnsisQnhyE1,143841,4,Mrs. Hollywood,7CslUrDCYnm3vMtKZJZGNv,Go-Jo
0.569,0.849,0,-6.589,0,0.124,0.25,4.07e-05,0.154,0.356,165.962,audio_features,1ERFhctkk5lhGZAStRmcQE,spotify:track:1ERFhctkk5lhGZAStRmcQE,https://api.spotify.com/v1/tracks/1ERFhctkk5lhGZAStRmcQE,https://api.spotify.com/v1/audio-analysis/1ERFhctkk5lhGZAStRmcQE,156145,4,Best U Had,1DUd25ybTBglvAohsXTmBx,Gloria Kim
0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,audio_features,1bDbXMyjaUIooNwFE9wn0N,spotify:track:1bDbXMyjaUIooNwFE9wn0N,https://api.spotify.com/v1/tracks/1bDbXMyjaUIooNwFE9wn0N,https://api.spotify.com/v1/audio-analysis/1bDbXMyjaUIooNwFE9wn0N,239360,3,Rich Flex,3TVXtAsR1Inumwj472S9r4,Drake
0.72,0.63,4,-3.547,0,0.277,0.673,0.0,0.0936,0.607,179.974,audio_features,0DWdj2oZMBFSzRsi2Cvfzf,spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,https://api.spotify.com/v1/tracks/0DWdj2oZMBFSzRsi2Cvfzf,https://api.spotify.com/v1/audio-analysis/0DWdj2oZMBFSzRsi2Cvfzf,199440,4,TQG,790FomKkXshlbRYZFtlgla,KAROL G
0.768,0.716,10,-5.11,1,0.0404,0.35,0.0,0.15,0.841,131.43,audio_features,3RfTeIrWS8LNrfHYwechtt,spotify:track:3RfTeIrWS8LNrfHYwechtt,https://api.spotify.com/v1/tracks/3RfTeIrWS8LNrfHYwechtt,https://api.spotify.com/v1/audio-analysis/3RfTeIrWS8LNrfHYwechtt,163026,4,Sunroof,7qmpXeNz2ojlMl2EEfkeLs,Nicky Youre
0.57,0.659,9,-6.852,0,0.0665,0.0558,0.0,0.0964,0.434,148.022,audio_features,6abqqL8a4GPxy4EtiJ6chW,spotify:track:6abqqL8a4GPxy4EtiJ6chW,https://api.spotify.com/v1/tracks/6abqqL8a4GPxy4EtiJ6chW,https://api.spotify.com/v1/audio-analysis/6abqqL8a4GPxy4EtiJ6chW,199589,4,Love So Good,77PxY9mItIkmEo8D2fbfco,Jaeger
